feature,importance_gain,importance_perm,gain_pct
cres,45406347.42553711,0.4856314561508854,45.92405408861777
gdp,10662903.733398438,0.06758525470667791,10.78447828461335
istat,7012213.885498047,0.08472723347470432,7.092164598499625
alt,5554231.776123047,0.059368903698502604,5.61755910725244
wage,3116690.2701416016,0.025606512165764882,3.15222563933766
sea,3051112.716064453,0.03959501699702184,3.08590039383367
pop,2931077.887084961,0.0884890521501667,2.964496971380185
pden,1853594.627319336,0.04452270123726397,1.8747286392719036
msw_so,1735779.1356201172,0.05489365453129062,1.7555698581753856
s_landfill,1709445.95703125,0.012347785416403346,1.7289364382592918
glass,1540763.781616211,-0.002254248177869089,1.5583310100149315
msw,1538832.5568847656,0.03430690230549799,1.5563777661613136
wden,1455237.2530517578,0.09934725419921853,1.4718293390702069
area,1073131.0147705078,-0.002788604057169719,1.0853664643982563
msw_un,1044729.4887695312,0.01000242320831024,1.056641114524935
organic,1007947.4169921875,0.008012076277276615,1.0194396669395664
s_wteregio,926681.8623046875,0.008590506614536076,0.9372475519466013
plastic,899777.8491210938,0.003821852239736656,0.9100367889872939
paper,834807.3698730469,0.005592679559827995,0.8443255399588674
texile,784351.1129150391,0.0008823702322672044,0.7932939991054943
wood,726096.4949951172,0.0025599680998555697,0.7343751832140923
metal,688675.0673828125,0.003002295947787037,0.6965270900910097
proads,645262.6936035156,0.00477194689452487,0.652619744211115
other,624186.6257324219,0.0014255363614004922,0.6313033746776534
raee,623310.8665771484,-7.401575098895386e-05,0.6304176304349276
sample,492821.72265625,0.0046767203888207435,0.49844069674238267
roads,481505.623046875,0.0007114315872697285,0.48699557507992436
geo,250518.85986328125,0.0015026377020269433,0.2533751848119304
d_fee,185349.52087402344,0.00283185388976791,0.18746280871583126
urb,15304.9501953125,0.0004720435797100575,0.015479451672385168
isle,0.0,0.0,0.0
finance,0.0,0.0,0.0
fee_PAYT,0.0,0.0,0.0
fee_STANDARD,0.0,0.0,0.0
